id;contract_id;name;parent;main_id;sub_id;item_id;rank;main_group;sub_group;unit;code;qty;price;total;type;leader;leader_id
479;18;ANA B?NA;78;;;;;;1;;03;;;;;;
480;18;G?R?? YAPISI;78;;;;;;1;;04;;;;;;
481;18;RESTORAN;78;;;;;;1;;05;;;;;;
482;18;ÇOCUK OKUMA ODASI;78;;;;;;1;;06;;;;;;
483;18;A?LE OKUMA ODASI;78;;;;;;1;;07;;;;;;
484;18;SU TEMALI ODA;78;;;;;;1;;08;;;;;;
485;18;D?J?TAL K?TAPLIK;78;;;;;;1;;09;;;;;;
486;18;BOTAN?K;78;;;;;;1;;10;;;;;;
487;18;A?LE OKUMA ODASI;78;;;;;;1;;11;;;;;;
488;18;ATE? TEMALI ODA;78;;;;;;1;;12;;;;;;
489;18;DÜKKANLAR;78;;;;;;1;;13;;;;;;
490;18;ÇOK AMAÇLI SALON;78;;;;;;1;;14;;;;;;
491;18;ÇALI?MA SALONU;78;;;;;;1;;15;;;;;;
492;18;KONFERANS SALONU;78;;;;;;1;;16;;;;;;
493;18;BELED?YE B?R?M?;78;;;;;;1;;17;;;;;;
494;18;T?CAR? B?R?M;78;;;;;;1;;18;;;;;;
495;18;K?TAP KAFE - 1;78;;;;;;1;;19;;;;;;
496;18;K?TAP KAFE - 2;78;;;;;;1;;20;;;;;;
497;18;ABDESTHANE;78;;;;;;1;;21;;;;;;
498;18;GENEL;78;;;;;;1;;22;;;;;;
